Year,United States,Russia,China,Brazil,Australia,Nigeria
1990,60.6,62.8,75.2,58.9,57.2,53.4
1991,60.4,63,75.5,58.7,56.2,53.3
1992,60.7,60.9,75.5,59.2,55.8,53.6
1993,61.6,57.8,75.4,59.5,56.9,53.4
1994,62.1,56.2,75.1,59.8,58.3,53.2
1995,62.4,55.2,74.9,59.6,58.2,53.1
1996,63,52.7,74.7,59.2,58,53
1997,63.3,51,74.3,58.7,58.3,52.9
1998,63.6,53.6,74,58.5,58.7,52.8
1999,63.8,55.4,73.7,58.6,59.4,52.6
2000,62.9,55.2,73,59.2,59.3,52.6
2001,61.9,56.4,72.3,60,59.6,52.6
2002,61.4,55.8,71.6,59.7,60,52.6
2003,61.4,56.4,70.9,60.9,60.2,52.3
2004,61.8,57.1,70.3,60.8,61.3,52.4
2005,62.2,57.4,69.9,61.6,61.8,52.5
2006,62,58.8,69.6,61.4,62.5,52.5
2007,61.2,59,68.7,61.8,62.8,52.6
2008,58.4,57.7,68.4,61.5,61.9,52.7
2009,57.5,58.4,68,61.1,62.1,52.8
2010,57.4,59.3,67.7,60.3,62.2,52.9
2011,57.8,60,67.4,59.7,61.8,53
2012,57.9,60,67.1,59.7,61.3,53.1
2013,58.4,60.2,66.8,59.7,60.8,52.6
2014,58.7,60.1,66.5,58.7,61.1,52.7
2015,59.1,60.3,66.1,56.4,61.2,51.3
2016,59.2,60.2,65.7,55.2,61.2,51.3
2017,59.1,60,65.2,55.9,61.2,51.3
2018,58.9,59.7,64.7,56,61,51.2
2019,58.6,59.3,64.1,56,61,51.2
2020,58.4,58.9,63.5,55.9,60.9,51.2
2021,58.1,58.5,63,55.8,60.8,51.2
